race_number,program_number,frequency
1,1,14
1,3,4
1,4,5
1,6,11
1,7,14
2,1,2
2,2,12
2,3,3
2,4,5
2,5,5
2,6,6
2,7,3
2,8,5
2,10,7
3,1,7
3,2,2
3,3,5
3,4,11
3,5,3
3,6,13
3,7,1
3,8,6
4,1,8
4,2,6
4,3,3
4,4,3
4,5,6
4,6,13
4,7,9
5,1,8
5,2,2
5,3,4
5,4,5
5,6,1
5,7,1
5,8,1
5,9,2
5,10,4
5,11,13
5,12,7
6,1,9
6,3,7
6,4,7
6,5,12
6,6,7
6,7,6
7,1,16
7,3,10
7,4,13
7,5,7
7,7,2
8,1,4
8,4,8
8,5,8
8,6,11
8,7,4
8,8,2
8,9,10
8,10,1
9,1,3
9,2,10
9,3,5
9,4,11
9,5,3
9,6,1
9,7,3
9,8,2
9,9,10
10,1,3
10,2,11
10,5,1
10,6,7
10,7,13
10,8,6
10,10,7
11,1,7
11,2,7
11,5,1
11,6,4
11,7,2
11,8,6
11,9,3
11,10,4
11,11,10
11,12,4
